價 값 가
客 손 객
格 격식 격
見 볼 견, 뵈올 현:
結 맺을 결
決 결단할 결
敬 공경할 경:
告 고할 고:
過 지날 과:
課 과정 과-
關 관계할 관
觀 볼 관
廣 넓을 광:
舊 예 구:
具 갖출 구-
局 판 국
己 몸 기
基 터 기
念 생각 념:
能 능할 능
團 둥글 단
當 마땅 당
宅 집 댁/택
德 덕 덕
到 이를 도:
獨 홀로 독
朗 밝을 랑:
良 어질 량
旅 나그네 려
歷 지낼 력
練 익힐 련:
勞 일할 로
流 흐를 류
類 무리 류-
陸 뭍 륙
望 바랄 망:
法 법 법
變 변할 변
兵 병사 병:
福 복 복
奉 받들 봉:
士 선비 사:
史 역사 사:
仕 섬길 사-
産 낳을 산:
相 서로 상
商 장사 상
鮮 고울/물고기 선
仙 신선 선
說 말씀 설, 달랠 세, 기쁠 열-
性 성품 성:
歲 해 세:
洗 씻을 세:
束 묶을 속
首 머리 수
宿 잘 숙, 별자리 수-
順 순할 순:
識 알 식, 표할 지
臣 신하 신
實 열매 실
兒 아이 아
惡 악할 악, 미워할 오
約 맺을 약
養 기를 양:
要 요긴할 요-
雨 비 우:
友 벗 우:
雲 구름 운
元 으뜸 원
偉 클 위
以 써 이:
任 맡길 임-
材 재목 재
財 재물 재
的 과녁 적
展 펼 전:
傳 전할 전
典 법 전:
節 마디 절
切 끊을 절, 온통 체
店 가게 점:
情 뜻 정
調 고를 조
卒 마칠 졸
種 씨 종-
週 돌 주
州 고을 주
知 알 지
質 바탕 질
着 붙을 착
參 참여할 참, 석 삼
責 꾸짖을 책
充 채울 충
品 물건 품:
筆 붓 필
必 반드시 필
害 해할 해:
化 될 화
效 본받을 효:
凶 흉할 흉
